"date","demand"
2016-02-16,1804293
2016-02-17,1883099
2016-02-18,1826458
2016-02-19,1743508
2016-02-20,1523304
2016-02-21,1448659
2016-02-22,1717804
2016-02-23,1779035
2016-02-24,1836763
2016-02-25,1862846
2016-02-26,1846109
2016-02-27,1657113
2016-02-28,1606649
2016-02-29,1799946
2016-03-01,1727983
2016-03-02,1769024
2016-03-03,1792369
2016-03-04,1752146
2016-03-05,1610549
2016-03-06,1609271
2016-03-07,1806621
2016-03-08,1872656
2016-03-09,1845147
2016-03-10,1843409
2016-03-11,1752036
2016-03-12,1554087
2016-03-13,1479451
2016-03-14,1664372
2016-03-15,1758441
2016-03-16,1720007
2016-03-17,1713027
2016-03-18,1784359
2016-03-19,1596018
2016-03-20,1525807
2016-03-21,1695382
2016-03-22,1719379
2016-03-23,1743012
2016-03-24,1671167
2016-03-25,1356432
2016-03-26,1348724
2016-03-27,1203729
2016-03-28,1363940
2016-03-29,1601764
2016-03-30,1619107
2016-03-31,1603404
2016-04-01,1546680
2016-04-02,1401409
2016-04-03,1374009
2016-04-04,1596611
2016-04-05,1538725
2016-04-06,1498971
2016-04-07,1591871
2016-04-08,1584716
2016-04-09,1420273
2016-04-10,1335647
2016-04-11,1548574
2016-04-12,1589938
2016-04-13,1556702
2016-04-14,1579942
2016-04-15,1621200
2016-04-16,1413243
2016-04-17,1338297
2016-04-18,1542121
2016-04-19,1541638
2016-04-20,1494263
2016-04-21,1516197
2016-04-22,1561263
2016-04-23,1351726
2016-04-24,1345651
2016-04-25,1545058
2016-04-26,1539686
2016-04-27,1612932
2016-04-28,1610359
2016-04-29,1505422
2016-04-30,1369076
2016-05-01,1272689
2016-05-02,1290885
2016-05-03,1454386
2016-05-04,1430983
2016-05-05,1415740
2016-05-06,1427608
2016-05-07,1228818
2016-05-08,1149321
2016-05-09,1367948
2016-05-10,1472727
2016-05-11,1464658
2016-05-12,1352229
2016-05-13,1344305
2016-05-14,1210609
2016-05-15,1196740
2016-05-16,1396791
2016-05-17,1414107
2016-05-18,1455969
2016-05-19,1432404
2016-05-20,1359416
2016-05-21,1225833
2016-05-22,1211258
2016-05-23,1382733
2016-05-24,1365662
2016-05-25,1469743
2016-05-26,1450412
2016-05-27,1395292
2016-05-28,1204089
2016-05-29,1119746
2016-05-30,1172301
2016-05-31,1343339
2016-06-01,1406625
2016-06-02,1365748
2016-06-03,1398692
2016-06-04,1252831
2016-06-05,1159571
2016-06-06,1368891
2016-06-07,1426608
2016-06-08,1425805
2016-06-09,1406545
2016-06-10,1431484
2016-06-11,1272766
2016-06-12,1239717
2016-06-13,1448532
2016-06-14,1435122
2016-06-15,1433515
2016-06-16,1427831
2016-06-17,1402133
2016-06-18,1240274
2016-06-19,1183827
2016-06-20,1375560
2016-06-21,1388587
2016-06-22,1427668
